,anguler_vel_[0ax],anguler_vel_[1ax],anguler_vel_[2ax],anguler_acc_[0ax],anguler_acc_[1ax],anguler_acc_[2ax],position_vec_[0ax],position_vec_[1ax],position_vec_[2ax],linear_vel_[0ax],linear_vel_[1ax],linear_vel_[2ax],linear_acc_[0ax],linear_acc_[1ax],linear_acc_[2ax],theta_ang,gamma_ang,psi_ang,rotors_cmd_[0ax],rotors_cmd_[1ax],rotors_cmd_[2ax],rotors_cmd_[3ax]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.145200726,0.0,0.0,14.520072599999999,0.3056328642942346,0.3056328642942346,0.4037328642942346,0.3056328642942346,0.3056328642942346,0.4037328642942346,30.56328642942346,30.56328642942346,40.37328642942346,0.0,0.0,0.00145200726,128.46054505776888,-40.713266600263324,-113.82136290192561,152.1043999146312
2,3717.7006265508476,22513.035702711488,1441.110794373448,371770.06265508477,2251303.570271149,144096.5593647448,9.059952479082103,9.059952479082103,9.2561524790821,9.059952479082103,9.059952479082103,9.2561524790821,875.4319614787867,875.4319614787867,885.2419614787866,225.13035702711488,37.177006265508474,14.41255995099448,-5763.826672239254,43650.311775493064,11716.391882266707,-49673.138962545425
3,-109061822.18168885,589175120.3172781,304391716.93318796,-10906553988.231539,58915260728.15754,30439027582.239357,4.179414004287059,4.179414004287059,4.473714004287056,4.179414004287059,4.179414004287059,4.473714004287056,-488.0538474795044,-488.0538474795044,-478.2438474795044,5891976.333529809,-1090581.044810623,3043931.581891831,823641942.0633607,586898782.0975326,431062209.3618109,-1841602894.3140001
4,5.163045111727609e+17,3.193863461855613e+18,2.5287572182909776e+17,5.163045112818227e+19,3.1938634612664376e+20,2.5287572152470606e+19,6.902929590661853,6.902929590661853,7.295329590661851,6.902929590661853,6.902929590661853,7.295329590661851,272.3515586374794,272.3515586374794,282.1615586374794,3.1938634624448104e+16,5163045110637028.0,2528757221334909.0,-6.522066691489667e+17,6.06141125992199e+18,1.6945665029663316e+18,-7.103771093739354e+18
5,-2.564043042486847e+36,1.4384049199548543e+37,6.071355541886111e+36,-2.564043042486847e+38,1.4384049199548542e+39,6.07135554188611e+38,6.902929590661853,6.902929590661853,7.39342959066185,6.902929590661853,6.902929590661853,7.39342959066185,0.0,0.0,9.81,1.4384049199548544e+35,-2.564043042486847e+34,6.0713555418861105e+34,1.710597389825316e+37,1.7132562049106734e+37,7.920300334208366e+36,-4.215883628156826e+37
6,2.409594264312473e+74,1.555337019252218e+75,1.414096228198654e+74,2.4095942643124728e+76,1.555337019252218e+77,1.414096228198654e+76,6.902929590661853,6.902929590661853,7.49152959066185,6.902929590661853,6.902929590661853,7.49152959066185,0.0,0.0,9.81,1.555337019252218e+73,2.409594264312473e+72,1.414096228198654e+72,-2.588158318386735e+74,2.914121444855599e+75,8.417097136717737e+74,-3.4970153266886993e+75
7,-6.72397592994734e+149,3.917068369185268e+150,1.4427369517788063e+150,-6.72397592994734e+151,3.917068369185268e+152,1.4427369517788063e+152,6.902929590661853,6.902929590661853,7.58962959066185,6.902929590661853,6.902929590661853,7.58962959066185,0.0,0.0,9.81,3.9170683691852685e+148,-6.72397592994734e+147,1.4427369517788064e+148,4.172012194608068e+150,5.099626942187974e+150,1.7749843783031165e+150,-1.1046623515099157e+151
8,1.4941956934410865e+301,1.006481948101093e+302,1.0156868267229124e+301,1.4941956934410865e+303,1.0064819481010931e+304,1.0156868267229125e+303,6.902929590661853,6.902929590661853,7.687729590661849,6.902929590661853,6.902929590661853,7.687729590661849,0.0,0.0,9.81,1.006481948101093e+300,1.4941956934410865e+299,1.0156868267229124e+299,-1.3359975419811234e+301,1.865037171762972e+302,5.522683181539252e+301,-2.283705735718785e+302
9,,,,,,,6.902929590661853,6.902929590661853,7.785829590661849,6.902929590661853,6.902929590661853,7.785829590661849,0.0,0.0,9.81,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,
